Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
5,7,9.044990806907624,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1859461327,A0:1):1.8140538673):2,A5:1,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):1,A8:1):1,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
5,137,9.044990806907624,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1859461327,A0:1):1.8140538673):2,A5:1,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):1,A4:5):1,((A1:1,A5:1):1,A8:1):1):1):2,A0:1,A9:3);",null
5,19,9.056593886448256,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.2184664686,A0:1):1.7815335314):2,A5:1,A9:1);","((((A6:1,A7:3):2.5,A8:1):1.5,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
5,177,9.07160714236028,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1374136167,A0:1):1.8625863833):2,A5:1,A9:1);","((((A6:1,A7:3):2.5000000001,A8:1):1.4999999999,(((A2:1,A3:3):1,A4:5):1,(A1:1,A5:1):2):1):2,A0:1,A9:3);",null
5,28,9.076508007380346,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0601548453,A0:1):1.9398451547):2,A5:1,A9:1);","((((A6:1,A7:3):4,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):1):1,A8:1):1,A0:1,A9:3);",null
5,158,9.079597398265287,1,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,((A2:1,A3:3):2,((A1:1,A5:1):1,A8:1):1):1):1,A4:5):1,A0:1,A9:3);",null
5,57,9.088130560327393,1,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,(((A2:1,A3:3):1,A8:1):1,(A1:1,A5:1):2):1):1,A4:5):1,A0:1,A9:3);",null
5,186,9.088130560327393,1,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,(((A2:1,A3:3):1,A4:5):1,(A1:1,A5:1):2):1):1,A8:1):1,A0:1,A9:3);",null
5,81,9.092085046265058,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","(((((A6:1,A7:3):2.5,A8:1):1.5,((A2:1,A3:3):2,(A1:1,A5:1):2):1):1,A4:5):1,A0:1,A9:3);",null
5,0,9.225447991264902,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.2556766271,A0:1):1.7443233729):2,A5:1,A9:1);","(((A6:1,A7:3):4,((A2:1,A3:3):2,(((A1:1,A5:1):0.6666666667,A4:5):0.6666666667,A8:1):0.6666666667):1):2,A0:1,A9:3);",null
5,129,9.225447991264902,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.2556766271,A0:1):1.7443233729):2,A5:1,A9:1);","(((A6:1,A7:3):4,((A2:1,A3:3):2,(((A1:1,A5:1):0.6666666667,A8:1):0.6666666667,A4:5):0.6666666667):1):2,A0:1,A9:3);",null
9,137,9.252257487643032,2,"(((((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):1.577687068,A0:1):0.422312932,A5:1,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):1,A4:5):1,((A1:1,A5:1):1,A8:1):1):1):2,A0:1,A9:3);",null
9,7,9.25381976915556,2,"(((((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):1.577687068,A0:1):0.422312932,A5:1,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):1,A8:1):1,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
9,19,9.25468047210024,2,"(((((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):1.5,A0:1):0.5,A5:1,A9:1);","((((A6:1,A7:3):2.5,A8:1):1.5,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
5,37,9.25987883277795,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1299483149,A0:1):1.8700516851):2,A5:1,A9:1);","(((A6:1,A7:3):4,((((A2:1,A3:3):0.6666666667,A8:1):0.6666666667,A4:5):0.6666666667,(A1:1,A5:1):2):1):2,A0:1,A9:3);",null
5,167,9.25987883277795,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1299483149,A0:1):1.8700516851):2,A5:1,A9:1);","(((A6:1,A7:3):4,((((A2:1,A3:3):0.6666666667,A4:5):0.6666666667,A8:1):0.6666666667,(A1:1,A5:1):2):1):2,A0:1,A9:3);",null
10,137,9.272749510321624,2,"((A0:1,A5:1):0,(((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):2,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):1,A4:5):1,((A1:1,A5:1):1,A8:1):1):1):2,A0:1,A9:3);",null
11,137,9.272749510321624,2,"(((((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):2,A5:1):0,A0:1,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):1,A4:5):1,((A1:1,A5:1):1,A8:1):1):1):2,A0:1,A9:3);",null
10,7,9.27430833989994,2,"((A0:1,A5:1):0,(((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):2,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):1,A8:1):1,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
11,7,9.27430833989994,2,"(((((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):2,A5:1):0,A0:1,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):1,A8:1):1,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
5,16,9.276055989879033,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1817707071,A0:1):1.8182292929):2,A5:1,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):0.6073174815,A8:1):0.3926825185):2,A0:1,A9:3);",null
5,90,9.278245697420276,1,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","(((((A6:1,A7:3):4,((A2:1,A3:3):2,(A1:1,A5:1):2):1):0.6666666667,A4:5):0.6666666667,A8:1):0.6666666667,A0:1,A9:3);",null
5,97,9.278245697420276,1,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","(((((A6:1,A7:3):4,((A2:1,A3:3):2,(A1:1,A5:1):2):1):0.6666666667,A8:1):0.6666666667,A4:5):0.6666666667,A0:1,A9:3);",null
5,32,9.279011681344205,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.2030569075,A0:1):1.7969430925):2,A5:1,A9:1);","((((A6:1,A7:3):4,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):1):2,A0:1):0.617944134,A8:1,A9:2.382055866);",null
10,19,9.281654520648434,3,"((A0:1,A5:1):0,(((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):2,A9:1);","((((A6:1,A7:3):2.5,A8:1):1.5,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
11,19,9.281654520648434,2,"(((((A6:2,A7:1):2,A8:1):1,(((A1:1,A2:1):3,A3:1):2,A4:5):4):2,A5:1):0,A0:1,A9:1);","((((A6:1,A7:3):2.5,A8:1):1.5,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
5,146,9.28717412582652,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.135787577,A0:1):1.864212423):2,A5:1,A9:1);","(((A6:1,A7:3):4,(((A2:1,A3:3):2,((A1:1,A5:1):1,A8:1):1):0.5,A4:5):0.5):2,A0:1,A9:3);",null
5,183,9.289775122447049,9,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0614922973,A0:1):1.9385077027):2,A5:1,A9:1);","((((A6:1,A7:3):2.4999999974,A8:1):1.5000000026,(((A3:2.4183181844,A4:5):0.5816818156,A2:1):2,(A1:1,A5:1):2):1):2,A0:1,A9:3);",null
5,174,9.289857569556808,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1020517176,A0:1):1.8979482824):2,A5:1,A9:1);","(((A6:1,A7:3):4,((((A2:1,A3:3):1,A4:5):1,(A1:1,A5:1):2):0.6024048272,A8:1):0.3975951728):2,A0:1,A9:3);",null
5,67,9.29223367835006,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0229586692,A0:1):1.9770413308):2,A5:1,A9:1);","((((A6:1,A7:3):2.5000000035,A8:1):1.4999999965,(((A2:1,A3:3):2,(A1:1,A5:1):2):0.4919596806,A4:5):0.5080403194):2,A0:1,A9:3);",null
0,28,9.29225274888907,1,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):1.5,A0:1):1.5,A3:1):2,A4:5):4):2,A5:1,A9:1);","((((A6:1,A7:3):4,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):1):1,A8:1):1,A0:1,A9:3);",null
0,158,9.29225274888907,1,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):1.5,A0:1):1.5,A3:1):2,A4:5):4):2,A5:1,A9:1);","((((A6:1,A7:3):4,((A2:1,A3:3):2,((A1:1,A5:1):1,A8:1):1):1):1,A4:5):1,A0:1,A9:3);",null
5,190,9.293316020519287,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1236738185,A0:1):1.8763261815):2,A5:1,A9:1);","((((A6:1,A7:3):4,(((A2:1,A3:3):1,A4:5):1,(A1:1,A5:1):2):1):2,A0:1):0.613710367,A8:1,A9:2.386289633);",null
5,85,9.293610942751037,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","(((((A6:1,A7:3):2.5,A8:1):1.5,((A2:1,A3:3):2,(A1:1,A5:1):2):1):2,A0:1):0.5937677811,A4:5,A9:2.4062322189);",null
5,45,9.296829853319515,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0751661922,A0:1):1.9248338078):2,A5:1,A9:1);","(((A6:1,A7:3):4,((((A2:1,A3:3):1,A8:1):1,(A1:1,A5:1):2):0.5,A4:5):0.5):2,A0:1,A9:3);",null
5,110,9.299928222724201,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,(((A2:1,A3:3):2,(A1:1,A5:1):2):0.5567338454,A8:1):0.4432661546):1,A4:5):1,A0:1,A9:3);",null
5,9,9.300400542802421,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0947453981,A0:1):1.9052546019):2,A5:1,A9:1);","(((A6:1,A7:3):4,(((A3:2.4537817114,A8:1):0.5462182886,A2:1):2,((A1:1,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
5,40,9.300400542802421,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0947453981,A0:1):1.9052546019):2,A5:1,A9:1);","(((A6:1,A7:3):4,((((A3:2.4537817114,A8:1):0.5462182886,A2:1):1,A4:5):1,(A1:1,A5:1):2):1):2,A0:1,A9:3);",null
5,139,9.300400542802421,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0947453981,A0:1):1.9052546019):2,A5:1,A9:1);","(((A6:1,A7:3):4,(((A3:2.4537817113,A4:5):0.5462182887,A2:1):2,((A1:1,A5:1):1,A8:1):1):1):2,A0:1,A9:3);",null
5,169,9.300400542802421,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0947453981,A0:1):1.9052546019):2,A5:1,A9:1);","(((A6:1,A7:3):4,((((A3:2.4537817113,A4:5):0.5462182887,A2:1):1,A8:1):1,(A1:1,A5:1):2):1):2,A0:1,A9:3);",null
5,70,9.301816814022335,1,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,(((A2:1,A3:3):2,(A1:1,A5:1):2):0.5,A4:5):0.5):1,A8:1):1,A0:1,A9:3);",null
5,149,9.306285880798004,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0758011501,A0:1):1.9241988499):2,A5:1,A9:1);","((((A6:1,A7:3):3.4566343674,A4:5):0.5433656326,((A2:1,A3:3):2,((A1:1,A5:1):1,A8:1):1):1):2,A0:1,A9:3);",null
5,48,9.308136576085955,5,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.0489007087,A0:1):1.9510992913):2,A5:1,A9:1);","((((A6:1,A7:3):3.4409552263,A4:5):0.5590447737,(((A2:1,A3:3):1,A8:1):1,(A1:1,A5:1):2):1):2,A0:1,A9:3);",null
5,92,9.310627341579092,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","(((((A6:1,A7:3):4,((A2:1,A3:3):2,(A1:1,A5:1):2):1):1,A4:5):1,A0:1):0.5675819858,A8:1,A9:2.4324180142);",null
5,100,9.310627341579092,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","(((((A6:1,A7:3):4,((A2:1,A3:3):2,(A1:1,A5:1):2):1):1,A8:1):1,A0:1):0.5675819858,A4:5,A9:2.4324180142);",null
5,120,9.310627341579092,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","(((((A6:1,A7:3):3.4324180142,A4:5):0.5675819858,((A2:1,A3:3):2,(A1:1,A5:1):2):1):1,A8:1):1,A0:1,A9:3);",null
5,162,9.310627341579092,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,((A2:1,A3:3):2,((A1:1,A5:1):1,A8:1):1):1):2,A0:1):0.5675819858,A4:5,A9:2.4324180142);",null
5,59,9.31067857423476,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,(((A3:2.4310550738,A8:1):0.5689449262,A2:1):2,(A1:1,A5:1):2):1):1,A4:5):1,A0:1,A9:3);",null
5,61,9.31067857423476,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,(((A2:1,A3:3):1,A8:1):1,(A1:1,A5:1):2):1):2,A0:1):0.5689449262,A4:5,A9:2.4310550738);",null
5,188,9.31067857423476,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2,A0:1):2):2,A5:1,A9:1);","((((A6:1,A7:3):4,(((A3:2.4310550738,A4:5):0.5689449262,A2:1):2,(A1:1,A5:1):2):1):1,A8:1):1,A0:1,A9:3);",null
5,1,9.344850656656941,3,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1835168288,A0:1):1.8164831712):2,A5:1,A9:1);","(((A6:1,A7:3):4,((A2:1,A3:3):2,(((A1:1,A4:5):0,A5:1):1,A8:1):1):1):2,A0:1,A9:3);",null
5,2,9.344850656656941,3,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1835168288,A0:1):1.8164831712):2,A5:1,A9:1);","(((A6:1,A7:3):4,((A2:1,A3:3):2,(((A4:5,A5:1):0,A1:1):1,A8:1):1):1):2,A0:1,A9:3);",null
5,31,9.344850656656941,4,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1835168288,A0:1):1.8164831712):2,A5:1,A9:1);","((A0:1,A8:1):0,((A6:1,A7:3):4,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5):1):1):2,A9:3);",null
5,130,9.344850656656941,2,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1835168288,A0:1):1.8164831712):2,A5:1,A9:1);","(((A6:1,A7:3):4,((A2:1,A3:3):2,((A1:1,A5:1):1,A4:5,A8:1):1):1):2,A0:1,A9:3);",null
5,131,9.344850656656941,3,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1835168288,A0:1):1.8164831712):2,A5:1,A9:1);","(((A6:1,A7:3):4,((A2:1,A3:3):2,(((A1:1,A8:1):0,A5:1):1,A4:5):1):1):2,A0:1,A9:3);",null
5,132,9.344850656656941,3,"((((A6:2,A7:1):2,A8:1):1,((((A1:1,A2:1):3,A3:1):2,A4:5):2.1835168288,A0:1):1.8164831712):2,A5:1,A9:1);","(((A6:1,A7:3):4,((A2:1,A3:3):2,(((A5:1,A8:1):0,A1:1):1,A4:5):1):1):2,A0:1,A9:3);",null
